6,4,"マイナンバーカード",4,08:57:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:59:19,09:03:01,,,,,,,0,0,0,2,1,20,,,,,,,,,,,,1
,52,"係員呼出",0,10:17:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
,60,"来店カウント",0,14:21:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
8,6,"戸籍の届出・車臨番",1,12:48:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:51:29,12:54:36,,,,,,,0,0,0,2,3,18,,,,,,,,,,,,1
20,4,"マイナンバーカード",4,14:04:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:04:58,14:07:12,,,,,,,0,0,0,3,1,28,,,,,,,,,,,,1
,50,"係員呼出",0,11:38:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
7,3,"国民健康保険",2,12:42:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:42:51,12:52:58,,,,,,,0,0,0,3,0,16,,,,,,,,,,,,1
21,1,"証明書の交付",2,09:17:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:23:26,09:26:57,,,,,,,0,0,0,2,0,20,,,,,,,,,,,,1
18,4,"マイナンバーカード",4,11:47:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:49:06,12:02:14,,,,,,,0,0,0,3,3,27,,,,,,,,,,,,1
,51,"係員呼出",0,13:58:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
15,1,"証明書の交付",2,13:55:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:55:45,17:27:55,,,,,,,0,0,0,1,1,24,,,,,,,,,,,,1
12,8,"保険料の納付",4,12:20:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:23:57,12:26:35,,,,,,,0,0,0,4,2,18,,,,,,,,,,,,1
5,3,"国民健康保険",2,09:19:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:23:19,09:31:18,,,,,,,0,0,0,4,1,19,,,,,,,,,,,,1
2,1,"証明書の交付",2,13:28:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:28:59,13:37:22,,,,,,,0,0,0,2,3,20,,,,,,,,,,,,1
9,1,"証明書の交付",2,08:17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:20:18,08:24:51,,,,,,,0,0,0,1,3,28,,,,,,,,,,,,1
16,2,"住所の変更",1,10:07:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08:02,10:16:12,,,,,,,0,0,0,2,0,18,,,,,,,,,,,,1
10,2,"住所の変更",1,08:32:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:39:41,08:41:54,,,,,,,0,0,0,4,3,27,,,,,,,,,,,,1
1,4,"マイナンバーカード",4,09:24:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:26:17,09:34:33,,,,,,,0,0,0,2,1,23,,,,,,,,,,,,1
19,1,"証明書の交付",4,08:38:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:40:52,08:42:58,,,,,,,0,0,0,3,3,21,,,,,,,,,,,,1
13,1,"証明書の交付",4,11:59:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00:09,12:07:28,,,,,,,0,0,0,3,0,18,,,,,,,,,,,,1
4,1,"証明書の交付",3,13:13:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:19:24,13:29:14,,,,,,,0,0,0,2,2,21,,,,,,,,,,,,1
3,1,"証明書の交付",1,13:17:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18:18,13:20:52,,,,,,,0,0,0,3,3,19,,,,,,,,,,,,1
14,1,"証明書の交付",4,09:18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:22:37,09:25:39,,,,,,,0,0,0,2,2,16,,,,,,,,,,,,1
,60,"来店カウント",0,14:04:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
17,4,"マイナンバーカード",1,12:50:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:51:24,12:53:17,,,,,,,0,0,0,1,2,28,,,,,,,,,,,,1
11,2,"住所の変更",2,08:16:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:17:02,08:32:18,,,,,,,0,0,0,2,3,25,,,,,,,,,,,,1
