20,8,"保険料の納付",3,13:07:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:07:10,13:18:36,,,,,,,0,0,0,2,1,18,,,,,,,,,,,,1
2,3,"国民健康保険",3,11:54:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:56:31,12:06:08,,,,,,,0,0,0,4,2,21,,,,,,,,,,,,1
12,4,"マイナンバーカード",4,14:30:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:32:27,14:33:55,,,,,,,0,0,0,3,2,22,,,,,,,,,,,,1
14,4,"マイナンバーカード",2,16:20:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:24:22,16:27:39,,,,,,,0,0,0,3,2,28,,,,,,,,,,,,1
11,6,"戸籍の届出・車臨番",4,10:31:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:34:35,10:39:00,,,,,,,0,0,0,1,0,27,,,,,,,,,,,,1
3,4,"マイナンバーカード",3,14:39:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:43:10,14:46:56,,,,,,,0,0,0,1,0,22,,,,,,,,,,,,1
21,8,"保険料の納付",2,13:16:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:19:22,13:24:43,,,,,,,0,0,0,4,2,23,,,,,,,,,,,,1
,52,"係員呼出",0,08:44:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
9,1,"証明書の交付",1,12:15:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16:29,12:19:22,,,,,,,0,0,0,3,3,26,,,,,,,,,,,,1
16,6,"戸籍の届出・車臨番",1,09:57:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:59:30,10:02:36,,,,,,,0,0,0,3,1,16,,,,,,,,,,,,1
8,1,"証明書の交付",1,09:30:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30:34,09:34:20,,,,,,,0,0,0,4,0,17,,,,,,,,,,,,1
10,2,"住所の変更",2,09:45:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:50:10,09:53:24,,,,,,,0,0,0,4,3,19,,,,,,,,,,,,1
,60,"来店カウント",0,08:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
23,1,"証明書の交付",4,14:10:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:13:27,14:17:15,,,,,,,0,0,0,2,3,16,,,,,,,,,,,,1
27,3,"国民健康保険",2,10:01:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:01:29,10:03:54,,,,,,,0,0,0,3,0,18,,,,,,,,,,,,1
19,1,"証明書の交付",1,10:01:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:03:59,10:06:42,,,,,,,0,0,0,2,3,24,,,,,,,,,,,,1
7,3,"国民健康保険",2,13:54:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:55:03,13:59:07,,,,,,,0,0,0,1,2,17,,,,,,,,,,,,1
18,1,"証明書の交付",4,13:04:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:05:06,13:08:18,,,,,,,0,0,0,2,0,19,,,,,,,,,,,,1
,52,"係員呼出",0,10:45:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
24,1,"証明書の交付",3,09:41:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:41:40,09:44:45,,,,,,,0,0,0,2,0,27,,,,,,,,,,,,1
,52,"係員呼出",0,14:11:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
13,1,"証明書の交付",1,09:54:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:58:16,10:00:45,,,,,,,0,0,0,3,3,16,,,,,,,,,,,,1
1,1,"証明書の交付",2,10:05:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:07:22,10:07:22,10:07:22,,,,,,4,0,0,3,0,,,,,,,,,,,,,0
25,5,"印鑑の登録",2,17:07:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:09:28,,,,,,,,0,0,0,1,1,26,,,,,,,,,,,,0
5,2,"住所の変更",1,14:04:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:05:06,14:13:20,,,,,,,0,0,0,4,0,22,,,,,,,,,,,,1
,60,"来店カウント",0,13:11:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0
26,2,"住所の変更",1,12:09:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:09:23,12:12:43,,,,,,,0,0,0,3,3,21,,,,,,,,,,,,1
4,1,"証明書の交付",4,08:39:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:39:23,08:42:10,,,,,,,0,0,0,4,1,27,,,,,,,,,,,,1
17,1,"証明書の交付",4,13:44:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:44:46,13:49:17,,,,,,,0,0,0,2,2,28,,,,,,,,,,,,1
6,6,"戸籍の届出・車臨番",3,13:19:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:24:18,16:46:33,,,,,,,0,0,0,2,1,18,,,,,,,,,,,,1
15,8,"保険料の納付",1,13:17:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:19:38,13:20:34,,,,,,,0,0,0,3,2,19,,,,,,,,,,,,1
22,4,"マイナンバーカード",1,14:27:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:27:48,14:39:17,,,,,,,0,0,0,1,3,22,,,,,,,,,,,,1
